year,USCensus,PopulationBureau,UN,HYDE,Maddison
1950,2555974605,2516000000,2529346000,2528313293,2524324000
1955,2780923093,,2763453000,2767727535,2766471000
1960,3041697768,,3023358000,3035624545,3038795000
1962,3138922062,,,3155862958,3132691000
1965,3349287332,,3331670000,3351348699,3328882000
1966,3419728217,,,3420389193,3397631000
1970,3711961664,,3685777000,3696590163,3685058000
1973,3941550996,,,3923325629,3916489000
1975,4088611586,,4061317000,4073741819,4065408000
1980,4452547522,,4437609000,4442296596,4435598000
1985,4852051940,,4846247000,4843949085,4830813000
1990,5283687429,,5290452000,5279521283,5259502000
1995,5696676739,5760000000,5713073000,5692354537,5677287000
1998,5932090951,,,5930407103,5914930000
1999,6008254795,,,6008326071,5997967000
2000,6083550220,,6115367000,6085574386,6071144000
2001,6159242510,,,,6149006000
2002,6234361771,6215000000,,6238183321,
2005,6456443080,6477000000,6512276000,6464751609,
2006,6530984631,6555000000,,6540285038,
2007,6606214786,6625000000,,6615854053,
2008,6681112529,6705000000,,6691483957,
2009,6755987239,,,,
2010,6830586985,,6908688000,6842925208,
2015,7200008584,,7302186000,7219433211,
2020,7557514266,,7674833000,7577890552,
2025,7892758722,8000000000,8011533000,7905241284,
2030,8202205367,,8308895000,8199106302,
2035,8487066951,,8570570000,,
2040,8748743446,,8801196000,,
2045,8987418540,,8996344000,,
2050,9202458484,9352000000,9149984000,,
